Season,Lg,Champion,Runner-Up,Hart,Vezina,Calder,Norris,Conn Smythe
1973-74,WHA,Houston Aeros,Chicago Cougars,N/A,N/A,N/A,N/A,N/A
1972-73,NHL,Montreal Canadiens,Chicago Black Hawks,B. Clarke,K. Dryden,S. Vickers,B. Orr,Y. Cournoyer
1972-73,WHA,New England Whalers,Winnipeg Jets,N/A,N/A,N/A,N/A,N/A
1971-72,NHL,Boston Bruins,New York Rangers,B. Orr,T. Esposito G. Smith,K. Dryden,B. Orr,B. Orr
1970-71,NHL,Montreal Canadiens,Chicago Black Hawks,B. Orr,E. Giacomin G. Villemure,G. Perreault,B. Orr,K. Dryden
1969-70,NHL,Boston Bruins,St. Louis Blues,B. Orr,T. Esposito,T. Esposito,B. Orr,B. Orr
1968-69,NHL,Montreal Canadiens,St. Louis Blues,P. Esposito,G. Hall J. Plante,D. Grant,B. Orr,S. Savard
1967-68,NHL,Montreal Canadiens,St. Louis Blues,S. Mikita,R. Vachon G. Worsley,D. Sanderson,B. Orr,G. Hall
1966-67,NHL,Toronto Maple Leafs,Montreal Canadiens,S. Mikita,D. DeJordy G. Hall,B. Orr,H. Howell,D. Keon
1965-66,NHL,Montreal Canadiens,Detroit Red Wings,B. Hull,C. Hodge G. Worsley,B. Selby,J. Laperriere,R. Crozier
1964-65,NHL,Montreal Canadiens,Chicago Black Hawks,B. Hull,J. Bower T. Sawchuk,R. Crozier,P. Pilote,J. Beliveau
1963-64,NHL,Toronto Maple Leafs,Detroit Red Wings,J. Beliveau,C. Hodge,J. Laperriere,P. Pilote,N/A
1962-63,NHL,Toronto Maple Leafs,Detroit Red Wings,G. Howe,G. Hall,K. Douglas,P. Pilote,N/A
1961-62,NHL,Toronto Maple Leafs,Chicago Black Hawks,J. Plante,J. Plante,B. Rousseau,D. Harvey,N/A
1960-61,NHL,Chicago Black Hawks,Detroit Red Wings,B. Geoffrion,J. Bower,D. Keon,D. Harvey,N/A
1959-60,NHL,Montreal Canadiens,Toronto Maple Leafs,G. Howe,J. Plante,B. Hay,D. Harvey,N/A
1958-59,NHL,Montreal Canadiens,Toronto Maple Leafs,A. Bathgate,J. Plante,R. Backstrom,T. Johnson,N/A
1957-58,NHL,Montreal Canadiens,Boston Bruins,G. Howe,J. Plante,F. Mahovlich,D. Harvey,N/A
1956-57,NHL,Montreal Canadiens,Boston Bruins,G. Howe,J. Plante,L. Regan,D. Harvey,N/A
1955-56,NHL,Montreal Canadiens,Detroit Red Wings,J. Beliveau,J. Plante,G. Hall,D. Harvey,N/A
1954-55,NHL,Detroit Red Wings,Montreal Canadiens,T. Kennedy,T. Sawchuk,E. Litzenberger,D. Harvey,N/A
1953-54,NHL,Detroit Red Wings,Montreal Canadiens,A. Rollins,H. Lumley,C. Henry,R. Kelly,N/A
1952-53,NHL,Montreal Canadiens,Boston Bruins,G. Howe,T. Sawchuk,G. Worsley,N/A,N/A
1951-52,NHL,Detroit Red Wings,Montreal Canadiens,G. Howe,T. Sawchuk,B. Geoffrion,N/A,N/A
1950-51,NHL,Toronto Maple Leafs,Montreal Canadiens,M. Schmidt,A. Rollins,T. Sawchuk,N/A,N/A
